"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"255303935","20130519","201305","2013","2013.3809","FRA","PARIS","FRA","","","","","","",""," GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","16","2","16","5.065925","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","20130526","http://www.philippinetimes.com/index.php/sid/214785034/scat/2411cd3571b4f088"
"19018563","19970307","199703","1997","1997.1836","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","7","1","7","2.5","1","Guatemala","GT","GT","15.5","-90.25","0","1","Guatemala","GT","GT","15.5","-90.25","0","1","Guatemala","GT","GT","15.5","-90.25","0","20130203",
"16561531","19960521","199605","1996","1996.3864","BGD","DHAKA","BGD","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","5.164319","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","20130203",
"16563619","19960521","199605","1996","1996.3864","GOVOPP","GOVERNMENT","","","","","","GOV","OPP","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","3.5714285","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","4","Dhaka, Dhaka, Bangladesh","BG","BG81","23.7231","90.4086","-2737683","20130203",
"10154110","19910924","199109","1991","1991.7233","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","6.675063","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","20130203",
"10159052","19910925","199109","1991","1991.726","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","18","1","18","2.8649385","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","20130203",
"10159053","19910925","199109","1991","1991.726","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","14","1","14","2.3166022","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","20130203",
"10159054","19910925","199109","1991","1991.726","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","14","1","14","3.2902467","0","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","0","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","4","Moscow, Moskva, Russia","RS","RS48","55.7522","37.6156","-2960561","20130203",
"6768180","19880311","198803","1988","1988.1945","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","4.87013","4","Waldheim, Niederörreich, Austria","AU","AU03","48.25","16.1","6011790","4","Waldheim, Niederörreich, Austria","AU","AU03","48.25","16.1","6011790","4","Waldheim, Niederörreich, Austria","AU","AU03","48.25","16.1","6011790","20130203",
"6775193","19880314","198803","1988","1988.2028","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","5.4469275","4","Vienna, Wien, Austria","AU","AU09","48.2","16.3667","-1995499","4","Vienna, Wien, Austria","AU","AU09","48.2","16.3667","-1995499","4","Vienna, Wien, Austria","AU","AU09","48.2","16.3667","-1995499","20130203",
"278072062","20131201","201312","2013","2013.9069","UKR","UKRAINE","UKR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","0.64794815","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","20131201","Multiple Sources/BBC Monitoring/(c) BBC"
"9592764","19910410","199104","1991","1991.274","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","2","1","2","3.501094","4","Minsk, Belarus (general), Belarus","BO","BO00","53.9","27.5667","-1946324",,"","","","0.0","0.0","0","4","Minsk, Belarus (general), Belarus","BO","BO00","53.9","27.5667","-1946324","20130203",
"278300877","20131202","201312","2013","2013.9095","MED","CORRESPONDENT","","","","","","MED","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","1.9337016","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","4","Kiev, Ukraine (general), Ukraine","UP","UP00","50.4333","30.5167","-1044367","20131202","Rossiya 1 TV, Moscow/BBC Monitoring/(c) BBC"
"11689164","19930418","199304","1993","1993.2959","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","4.0229883",,"","","","0.0","0.0","0",,"","","","0.0","0.0","0",,"","","","0.0","0.0",,"20130203",
"232319280","19930418","199304","1993","1993.2959","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","1.1494253","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","20130206",
"11197825","19921004","199210","1992","1992.7507","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","4","1","4","4.859335","4","Nalchik, Kabardino-Balkariya, Russia","RS","RS22","43.4981","43.6189","-2962666","4","Nalchik, Kabardino-Balkariya, Russia","RS","RS22","43.4981","43.6189","-2962666","4","Nalchik, Kabardino-Balkariya, Russia","RS","RS22","43.4981","43.6189","-2962666","20130203",
"9358059","19910120","199101","1991","1991.0548","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"1411","141","14","3","-6.5","2","1","2","2.9126213","0","Gorky, Nizhegorodskaya Oblast', Russia","RS","RS51","56.3269","44.0075","-2966853",,"","","","0.0","0.0","0","4","Gorky, Nizhegorodskaya Oblast', Russia","RS","RS51","56.3269","44.0075","-2966853","20130203",
