"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"232057779","19920228","199202","1992","1992.1589","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","1.0638298","4","Baku, Baki*, Azerbaijan","AJ","AJ09","40.3953","49.8822","-2705195","4","Baku, Baki*, Azerbaijan","AJ","AJ09","40.3953","49.8822","-2705195","4","Baku, Baki*, Azerbaijan","AJ","AJ09","40.3953","49.8822","-2705195","20130206",
"10705874","19920311","199203","1992","1992.1945","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","7","1","7","4.2918453","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Dedinje, , Serbia","RI","RI00","44.7706","20.4567","-78269","4","Dedinje, , Serbia","RI","RI00","44.7706","20.4567","-78269","20130203",
"10708255","19920312","199203","1992","1992.1973","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","4.121475","4","Vojvodina, , Serbia","RI","RI00","45.0","20.0","-100771","4","Vojvodina, , Serbia","RI","RI00","45.0","20.0","-100771","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"10708256","19920312","199203","1992","1992.1973","OPP","DEMONSTRATOR","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","5","1","5","4.121475","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","4","Belgrade, Serbia (general),","RB","RB00","44.8186","20.4681","-74897","20130203",
"6185996","19870723","198707","1987","1987.5562","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","3.1545742","1","Pakistan","PK","PK","30.0","70.0","0","1","Pakistan","PK","PK","30.0","70.0","0","1","Pakistan","PK","PK","30.0","70.0","0","20130203",
"11689164","19930418","199304","1993","1993.2959","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","9","1","9","4.0229883",,"","","","0.0","0.0","0",,"","","","0.0","0.0","0",,"","","","0.0","0.0",,"20130203",
"232319280","19930418","199304","1993","1993.2959","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","1.1494253","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","5","Chechenia, Checheno-Ingushskaya Avtonomnaya Sovetskaya Sotsialistichesk, Russia","RS","RS12","43.3","45.7","-2896483","20130206",
"10154110","19910924","199109","1991","1991.7233","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","10","1","10","6.675063","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","4","Daghestan, Russia (general), Russia","RS","RS00","42.0","47.0","-2900224","20130203",
"10159052","19910925","199109","1991","1991.726","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","18","1","18","2.8649385","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","4","Tbilisi, Georgia (general), Georgia","GG","GG00","41.725","44.7908","-2330077","20130203",
"10159053","19910925","199109","1991","1991.726","OPP","PROTESTER","","","","","","OPP","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","14","1","14","2.3166022","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","4","Dushanbe, Tajikistan (general), Tajikistan","TI","TI00","38.56","68.7739","-2555530","20130203",
