"globaleventid","day","monthyear","year","fractiondate","actor1code","actor1name","actor1countrycode","actor1knowngroupcode","actor1ethniccode","actor1religion1code","actor1religion2code","actor1type1code","actor1type2code","actor1type3code","actor2code","actor2name","actor2countrycode","actor2knowngroupcode","actor2ethniccode","actor2religion1code","actor2religion2code","actor2type1code","actor2type2code","actor2type3code","isrootevent","eventcode","eventbasecode","eventrootcode","quadclass","goldsteinscale","nummentions","numsources","numarticles","avgtone","actor1geo_type","actor1geo_fullname","actor1geo_countrycode","actor1geo_adm1code","actor1geo_lat","actor1geo_long","actor1geo_featureid","actor2geo_type","actor2geo_fullname","actor2geo_countrycode","actor2geo_adm1code","actor2geo_lat","actor2geo_long","actor2geo_featureid","actiongeo_type","actiongeo_fullname","actiongeo_countrycode","actiongeo_adm1code","actiongeo_lat","actiongeo_long","actiongeo_featureid","dateadded","sourceurl"
"14034847","19941222","199412","1994","1994.9644","GOVMED","PRIME MINISTER","","","","","","GOV","MED","","GOV","PRIME MINISTER","","","","","","GOV","","",,"0341","034","03","1","7.0","8","1","8","6.532181","1","Italy","IT","IT","42.8333","12.8333","0","1","Italy","IT","IT","42.8333","12.8333","0","1","Italy","IT","IT","42.8333","12.8333","0","20130203",
"875796","19801207","198012","1980","1980.9233","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"0341","034","03","1","7.0","5","1","5","6.1538463","4","Lisbon, Lisboa, Portugal","PO","PO14","38.7167","-9.13333","-2167973",,"","","","0.0","0.0","0","4","Lisbon, Lisboa, Portugal","PO","PO14","38.7167","-9.13333","-2167973","20130203",
"876290","19801207","198012","1980","1980.9233","PRT","PORTUGAL","PRT","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"0341","034","03","1","7.0","4","1","4","6.1538463","4","Lisbon, Lisboa, Portugal","PO","PO14","38.7167","-9.13333","-2167973","4","Lisbon, Lisboa, Portugal","PO","PO14","38.7167","-9.13333","-2167973","4","Lisbon, Lisboa, Portugal","PO","PO14","38.7167","-9.13333","-2167973","20130203",
"885559","19801213","198012","1980","1980.9397","GOV","PRESIDENT","","","","","","GOV","","","PHL","PHILIPPINE","PHL","","","","","","","",,"0341","034","03","1","7.0","4","1","4","4.371585","4","Manila, Manila, Philippines","RP","RPD9","14.6042","120.982","-2437894","4","Manila, Manila, Philippines","RP","RPD9","14.6042","120.982","-2437894","4","Manila, Manila, Philippines","RP","RPD9","14.6042","120.982","-2437894","20130203",
"255303935","20130519","201305","2013","2013.3809","FRA","PARIS","FRA","","","","","","",""," GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","16","2","16","5.065925","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","4","Paris, RhôAlpes, France","FR","FRB9","45.6333","5.73333","-1445327","20130526","http://www.philippinetimes.com/index.php/sid/214785034/scat/2411cd3571b4f088"
"255777470","20130608","201306","2013","2013.4329","GOV","PRIME MINISTER","","","","","","GOV","",""," TUR","TURKEY","TUR","","","","","","","",,"1411","141","14","3","-6.5","3","1","3","2.4958403","4","Istanbul, Istanbul, Turkey","TU","TU34","41.0186","28.9647","-755070","4","Istanbul, Istanbul, Turkey","TU","TU34","41.0186","28.9647","-755070","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","20130608","http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10889279&ref=rss"
"255777471","20130608","201306","2013","2013.4329","GOV","PRIME MINISTER","","","","","","GOV","",""," TUR","TURKEY","TUR","","","","","","","",,"1411","141","14","3","-6.5","2","1","2","2.4958403","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","20130608","http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10889279&ref=rss"
"255777476","20130608","201306","2013","2013.4329","GOV","PRIME MINISTER","","","","","","GOV","",""," TURGOV","RECEP TAYYIP ERDOGAN","TUR","","","","","GOV","","",,"1411","141","14","3","-6.5","3","1","3","2.4958403","4","Istanbul, Istanbul, Turkey","TU","TU34","41.0186","28.9647","-755070","4","Istanbul, Istanbul, Turkey","TU","TU34","41.0186","28.9647","-755070","4","Cairo, Al Qahirah, Egypt","EG","EG11","30.05","31.25","-290692","20130608","http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10889279&ref=rss"
"255777477","20130608","201306","2013","2013.4329","GOV","PRIME MINISTER","","","","","","GOV","",""," TURGOV","RECEP TAYYIP ERDOGAN","TUR","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","2.4958403","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","4","Istiklal, Ordu, Turkey","TU","TU52","41.0118","37.2435","10923126","20130608","http://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=10889279&ref=rss"
"278072062","20131201","201312","2013","2013.9069","UKR","UKRAINE","UKR","","","","","","","","GOV","PRESIDENT","","","","","","GOV","","",,"1411","141","14","3","-6.5","2","1","2","0.64794815","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","4","Simferopol, Krym, Avtonomna Respublika, Ukraine","UP","UP11","44.9572","34.1108","-1054041","20131201","Multiple Sources/BBC Monitoring/(c) BBC"
"2183789","19821117","198211","1982","1982.8685","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"0341","034","03","1","7.0","1","1","1","5.4347825","4","Baghdad, Baghdad, Iraq","IZ","IZ07","33.3386","44.3939","-3103581",,"","","","0.0","0.0","0","4","Baghdad, Baghdad, Iraq","IZ","IZ07","33.3386","44.3939","-3103581","20130203",
"2183790","19821117","198211","1982","1982.8685","GOV","PRESIDENT","","","","","","GOV","","","","","","","","","","","","",,"0341","034","03","1","7.0","6","1","6","5.4347825","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871",,"","","","0.0","0.0","0","3","Washington, District of Columbia, United States","US","USDC","38.8951","-77.0364","531871","20130203",
"283423898","20140119","201401","2014","2014.0521","THA","BANGKOK","THA","","","","","","","","GOV","PRIME MINISTER","","","","","","GOV","","",,"1411","141","14","3","-6.5","8","1","8","1.5267175","4","Bangkok, Krung Thep Mahanakhon, Thailand","TH","TH40","13.75","100.517","-3250083","4","Bangkok, Krung Thep Mahanakhon, Thailand","TH","TH40","13.75","100.517","-3250083","4","Bangkok, Krung Thep Mahanakhon, Thailand","TH","TH40","13.75","100.517","-3250083","20140119","http://www.aljazeera.com/news/asia-pacific/2014/01/twin-explosions-hit-thailand-protests-201411973143281602.html"
