"actor1geo_countrycode","actor2geo_countrycode","cnt"
"US","","11215567"
"","US","8051076"
"IN","","1365765"
"UK","","1338676"
"","IN","1015116"
"","UK","955861"
"AS","","842589"
"CH","","809064"
"CA","","787614"
"RS","","642490"
"NI","","622781"
"","CH","603966"
"","AS","598888"
"PK","","567622"
"","CA","550440"
"","RS","496197"
"IS","","493058"
"","NI","436330"
"","PK","426885"
"SF","","423017"
"FR","","410897"
"","IS","379618"
"RP","","365097"
"JA","","348666"
"GM","","328671"
"IR","","312221"
"US","RS","307595"
"","SF","303879"
"RS","US","302187"
"","FR","301863"
"IZ","","293460"
"EI","","283033"
"US","CH","280239"
"AF","","279843"
"US","IS","274798"
"CH","US","272993"
"TU","","267353"
"","RP","264580"
"","JA","262118"
"IS","US","253871"
"","GM","248148"
"US","UK","241978"
"IT","","241755"
"UK","US","241276"
"","IR","237116"
"SY","","234431"
"","IZ","226231"
"","AF","221366"
"EG","","217784"
"MY","","216177"
"NZ","","214811"
"MX","","212078"
"KE","","205296"
"","TU","203498"
"","EI","202981"
"US","IR","183994"
"","IT","183419"
"ID","","183201"
"","SY","182587"
"FR","US","181160"
"US","CA","180713"
"VM","","179214"
"IR","US","178980"
"US","IZ","178651"
"SP","","177271"
"CA","US","175357"
"KS","","171934"
"","EG","168050"
"IZ","US","166945"
"","MX","162942"
"GH","","159127"
"","MY","155691"
"TH","","155546"
"","NZ","154588"
"RS","UP","154264"
"US","FR","154262"
"","KE","153541"
"UP","RS","152123"
"SA","","151205"
"US","JA","149798"
"JA","US","148261"
"US","MX","147504"
"MX","US","146410"
"US","AF","145386"
"PK","AF","141806"
"","ID","140065"
"ZI","","139566"
"AF","US","139150"
"AF","PK","136021"
"EG","IS","134975"
"RS","SY","134059"
"BG","","132330"
"","SP","132207"
"UP","","130969"
"UG","","130516"
"","KS","127322"
"","VM","127159"
"IS","EG","125648"
"GR","","124942"
"AE","","123568"
"CH","JA","121292"
"CE","","121241"
"JA","CH","120990"
"SY","RS","119623"
"","TH","119324"
"CU","","119194"
"US","SY","118002"
"BR","","117417"
"LE","","116041"
"RS","CH","113838"
"SZ","","112532"
"CH","RS","111827"
"CU","US","111620"
"US","CU","111273"
"TU","SY","111021"
"","SA","110543"
"UK","FR","109312"
"FR","UK","108993"
"SY","US","108936"
"GM","US","107310"
"US","GM","106275"
"NL","","104489"
"","GH","103318"
"SY","TU","102373"
"US","PK","101703"
"PL","","101637"
"","UP","101087"
"KN","","100998"
"TW","","100479"
"SN","","99192"
"NP","","99038"
"","BG","98847"
"","ZI","98679"
"IN","PK","96832"
"","UG","96723"
"PK","US","96173"
"SU","","95953"
"","GR","95726"
"PK","IN","93908"
"","CU","92290"
"","AE","92200"
"RS","IR","91929"
"KS","KN","91448"
"IR","IZ","91399"
"KN","KS","91287"
"","LE","91286"
"LY","","90855"
"BE","","90748"
"JO","","90308"
"","CE","89420"
"IR","RS","89163"
"IZ","IR","87793"
"","BR","87415"
"SO","","87204"
"WE","IS","85360"
"IS","WE","85239"
"US","KN","84204"
"LE","SY","83399"
"KN","US","83284"
"AS","US","82942"
"","SZ","82161"
"US","AS","82104"
"US","KS","82089"
"SY","LE","81340"
"CH","TW","81021"
"IR","SY","81014"
"KS","US","80841"
"TW","CH","80781"
"FR","GM","80341"
"GM","FR","79812"
"","NL","79794"
"","PL","79395"
"US","TU","77174"
"SW","","77090"
"US","EG","76619"
"","NP","76493"
"BM","","75625"
"TU","US","75272"
"","KN","74769"
"EG","US","74701"
"RB","","74552"
"","TW","73692"
"AM","","72972"
"JM","","72845"
"","SN","71300"
"SY","IR","71182"
"UK","CH","70934"
"CO","","70860"
"IS","SY","70856"
"KS","JA","70791"
"AJ","","70711"
"","SU","70695"
"US","IN","70410"
"CH","KS","70264"
"JA","KS","70170"
"ZA","","70075"
"SY","IS","70043"
"UK","RS","69658"
"","LY","69633"
"IN","US","69609"
"KS","CH","69557"
"CH","UK","68768"
"IT","US","68369"
"","JO","67570"
"RS","UK","67150"
"","BE","67146"
"JO","IS","67009"
"IR","IS","66896"
"US","IT","66668"
"","SO","66626"
"IZ","SY","66616"
"FR","RS","66331"
"SY","IZ","65780"
"UK","GM","65488"
"GM","UK","65073"
"RS","FR","65018"
"IS","IR","64936"
"GM","RS","64838"
"CH","KN","64581"
"IS","JO","64398"
"YM","","64317"
"HK","","63915"
"US","VM","63616"
"RS","GM","62681"
"NO","","62496"
"QA","","62477"
"EI","UK","62426"
"VM","US","62250"
"TU","RS","62199"
"UK","EI","61899"
"RS","TU","61004"
"KN","CH","60425"
"","BM","60133"
"AU","","59864"
"ET","","59757"
"AR","","59468"
"FJ","","58918"
"BU","","58792"
"","SW","58584"
"","RB","58155"
"EZ","","57535"
"GG","","57258"
"VE","","56937"
"CH","PK","54871"
"","CO","54817"
"CB","","54646"
"RP","US","54541"
"TU","IR","54519"
"US","RP","54445"
"HA","","54029"
"US","SA","53976"
"IR","TU","53678"
"HU","","53464"
"RO","","53432"
"","AJ","53401"
"PK","CH","53100"
"HR","","52772"
"","AM","52656"
"SA","US","52639"
"IN","CH","51719"
"CA","UK","51558"
"PE","","51437"
"LE","IS","51351"
"TU","IZ","51349"
"UK","CA","51272"
"CH","IN","51193"
"IS","LE","51077"
"RQ","","50849"
"IZ","TU","50621"
"LI","","50376"
"CQ","","50231"
"TZ","","50088"
"RW","","49786"
"DA","","49722"
"","JM","49230"
"","YM","48925"
"MT","","48571"
"CI","","48426"
"","HK","47921"
"PO","","47624"
"AS","CH","47156"
"BF","","47036"
"","NO","46975"
"SA","IR","46781"
"WE","","46452"
"","BU","46415"
"","QA","46289"
"KU","","46248"
"FR","IR","46221"
"","ZA","46168"
"WA","","46145"
"","AU","45955"
"","EZ","45577"
"IR","SA","45573"
"UK","IR","45505"
"IR","UK","45343"
"US","SP","45298"
"SP","US","45254"
"CH","AS","45229"
"AS","UK","44867"
"","ET","44391"
"AO","","44269"
"UK","AS","44174"
"JA","RS","44173"
"AJ","AM","44022"
"BA","","43876"
"US","UP","43753"
"","AR","43718"
"AM","AJ","43442"
"RS","JA","43354"
"","VE","43305"
"GR","TU","43261"
"","HA","43176"
"IR","FR","43065"
"TU","IS","43004"
"AL","","42353"
"FR","CH","42340"
"CH","FR","42005"
"TU","GR","41716"
"","GG","41673"
"US","EI","41527"
"","HU","41210"
"KZ","","41209"
"","CB","41070"
"","HR","40996"
"EI","US","40946"
"RI","","40935"
"","RO","40839"
"BO","","40766"
"","PE","40699"
"UK","SY","40372"
"UP","US","40333"
"","FJ","40232"
"IS","TU","40148"
"CY","","40067"
"RS","IS","39890"
"RS","BO","39877"
"JA","KN","39485"
"UK","IS","39484"
"BO","RS","39440"
"RS","AM","39307"
"MU","","39119"
"AS","NZ","38908"
"MO","","38819"
"KN","JA","38669"
"IS","RS","38538"
"RP","CH","38496"
"SY","UK","38291"
"CH","RP","38213"
"VM","CH","38212"
"UK","IZ","38005"
"AM","RS","37855"
"NZ","AS","37626"
"AG","","37306"
"PK","UK","36985"
"FI","","36869"
"PK","IR","36808"
"SL","","36724"
"","TZ","36721"
"UK","PK","36697"
"EG","SY","36570"
"","WE","36508"
"CH","VM","36474"
"JO","SY","36436"
"US","NI","36352"
"IS","UK","36293"
"CH","IR","36000"
"","DA","35988"
"BR","US","35954"
"US","LE","35928"
"FR","IT","35878"
"","RW","35796"
"IR","PK","35780"
"BK","","35755"
"IR","AF","35741"
"IT","FR","35653"
"SY","JO","35404"
"US","BR","35317"
"","CI","35215"
"SY","EG","35038"
"","PO","34929"
"IR","CH","34890"
"NI","US","34811"
"IZ","UK","34727"
"TS","","34609"
"FR","IS","34464"
"AF","IR","34390"
"","LI","34356"
"LE","US","34213"
"RS","AJ","34190"
"","CQ","34041"
"US","JO","33990"
"SA","YM","33828"
"","MT","33702"
"AS","ID","33590"
"AJ","RS","33571"
"JO","US","33481"
"","AL","33306"
"SA","EG","33274"
"US","LY","33266"
"FR","SY","32904"
"","KU","32898"
"JE","","32848"
"","BF","32779"
"IS","FR","32513"
"","RQ","32486"
"","WA","32482"
"","AO","32434"
"ID","AS","32395"
"TD","","32253"
"YM","SA","31863"
"GM","IR","31587"
"EG","SA","31409"
"US","CO","31354"
"LY","US","31278"
"SZ","US","31216"
"UK","NI","31203"
"SF","US","31189"
"GM","CH","31057"
"BC","","31029"
"","CY","30868"
"","KZ","30848"
"MI","","30818"
"US","GR","30788"
"US","SF","30727"
"SY","FR","30621"
"","BO","30563"
"CO","US","30559"
"","RI","30478"
"GM","TU","30408"
"US","SZ","30344"
"US","TW","30220"
"UK","IT","30151"
"SA","SY","30039"
"CH","GM","30028"
"","BA","29988"
"IR","GM","29798"
"GA","","29767"
"GR","US","29762"
"IT","UK","29617"
"KE","SO","29555"
"TU","CY","29349"
"CY","TU","29337"
"MY","CH","29320"
"TU","GM","29231"
"IN","UK","29186"
"CH","MY","29101"
"","MO","28949"
"UK","IN","28880"
"PM","","28850"
